Row,i,lambda_i,theta_i
0,0,3.642720,8.000000
1,1,2.170086,5.000000
2,2,1.379930,4.000000
3,3,1.000000,4.000000
4,4,0.353389,3.000000
5,5,0.311108,3.000000
6,6,0.186800,2.000000
7,7,0.000000,2.000000
8,8,-1.000000,1.000000
9,9,-1.000000,1.000000
10,10,-1.000000,1.000000
11,11,-1.000000,0.000000
12,12,-1.381609,0.000000
13,13,-1.481194,0.000000
14,14,-2.181230,-0.000000
END
