Row,i,lambda_i,theta_i
0,0,2.170086,4.000000
1,1,1.000000,3.000000
2,2,0.311108,2.000000
3,3,0.000000,1.000000
4,4,-1.000000,0.000000
5,5,-1.000000,0.000000
6,6,-1.481194,-0.000000
END
